# congenital adrenal hyperplasia デモ用の候補リスト（1000 遺伝子）— メカニズム形式（any of these steps）の検証用
# 作成 2026-09-15。順序は下の構成の順（段階 0 以降は並びに依存しない）。
#   1. 正解 3: CYP21A2（原因、Open Targets 0.853・遺伝学 0.96）、
#      CRHR1（crinecerfont、ChEMBL CHEMBL291657 CRF1 受容体拮抗薬、NCT04490915）、
#      MC2R（atumelnant、NCT05907291 の登録に「MC2R antagonist」）
#   2. 別の病型の原因 6: CYP11B1, CYP17A1, POR, STAR, HSD3B2, CYP11A1（Open Targets 遺伝学 0.77〜0.95）
#   3. メカニズム関連 10（UniProt 機能で確認）
#      フィードバック: NR3C1, CRH, POMC ／ ACTH 受容体の補助: MRAP ／ アンドロゲン合成: HSD17B3, AKR1C3
#      アンドロゲン作用: AR, SRD5A2 ／ アルドステロン: CYP11B2, NR3C2
#   4. 同族デコイ 50: CYP 系のうちステロイド合成の 6 個を除き、Open Targets（MONDO_0018479）< 0.1
#   5. Open Targets 関連スコア上位 100（候補表に無い TNXA は除外）
#   ここまで重複を除いて 152 件。残り 848 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名（UniProt Gene Names、カンマ区切り、最大4）
PRL		Prolactin	
GNRHR		Gonadotropin-releasing hormone receptor	GRHR
GRAMD1B		Protein Aster-B	
EFNB2		Ephrin-B2	EPLG5,HTKL,LERK5
KISS1		Metastasis-suppressor KiSS-1	PP5098
ESR1		Estrogen receptor	ESR,NR3A1
FSHR		Follicle-stimulating hormone receptor	LGR1
FKBP4		Peptidyl-prolyl cis-trans isomerase FKBP4	FKBP52
DHH		Desert hedgehog protein	
GNRH1		Progonadoliberin-1	GNRH,GRH,LHRH
KISS1R		KiSS-1 receptor	AXOR12,GPR54
INHBA		Inhibin beta A chain	
THRB		Thyroid hormone receptor beta	ERBA2,NR1A2,THR1
CGB8		Choriogonadotropin subunit beta 3	CGB3,CGB;,CGB5;
CGB2		Choriogonadotropin subunit beta variant 2	
CGB1		Choriogonadotropin subunit beta variant 1	
CGB7		Choriogonadotropin subunit beta 7	
CGB5			
CGB3		Choriogonadotropin subunit beta 3	CGB;,CGB5;,CGB8
LHB		Lutropin subunit beta	
NKX3-1		Homeobox protein Nkx-3.1	NKX3.1,NKX3A
FCMR		Immunoglobulin mu Fc receptor	FAIM3,TOSO
WWOX		WW domain-containing oxidoreductase	FOR,SDR41C1,WOX1
AVPR1B		Vasopressin V1b receptor	AVPR3,VPR3
CACNA1S		Voltage-dependent L-type calcium channel subunit alpha-1S	CACH1,CACN1,CACNL1A3
LEPR		Leptin receptor	DB,OBR
AFP		Alpha-fetoprotein	HPAFP
TGFB2		Transforming growth factor beta-2 proprotein	
AIP		AH receptor-interacting protein	XAP2
NTRK2		BDNF/NT-3 growth factors receptor	TRKB
FOXC1		Forkhead box protein C1	FKHL7,FREAC3
CGA		Glycoprotein hormones alpha chain	
GHR		Growth hormone receptor	
TSC22D3		TSC22 domain family protein 3	DSIPI,GILZ
LRP2		Low-density lipoprotein receptor-related protein 2	
RET		Proto-oncogene tyrosine-protein kinase receptor Ret	CDHF12,CDHR16,PTC
GLI3		Transcription activator GLI3	
LHX9		LIM/homeobox protein Lhx9	
NHLH2		Helix-loop-helix protein 2	BHLHA34,HEN2
GH1		Somatotropin	
GAL		Galanin peptides	GAL1,GALN,GLNN
GPRC6A		G protein-coupled receptor family C group 6 member A	
EGR1		Early growth response protein 1	KROX24,ZNF225
VDR		Vitamin D3 receptor	NR1I1
VGF		Neurosecretory protein VGF	
SMPD3		Sphingomyelin phosphodiesterase 3	
CATSPER3		Cation channel sperm-associated protein 3	
ADRA1B		Alpha-1B adrenergic receptor	
ABCB4		Phosphatidylcholine translocator ABCB4	MDR3,PGY3
MEN1		Menin	SCG2
CHST8		Carbohydrate sulfotransferase 8	
ZBTB16		Zinc finger and BTB domain-containing protein 16	PLZF,ZNF145
BNC1		Zinc finger protein basonuclin-1	BNC
DDR2		Discoidin domain-containing receptor 2	NTRKR3,TKT,TYRO10
ABCA1		Phospholipid-transporting ATPase ABCA1	ABC1,CERP
ALK		ALK tyrosine kinase receptor	
NR0B2		Nuclear receptor subfamily 0 group B member 2	SHP
SGPL1		Sphingosine-1-phosphate lyase 1	
TIMP1		Metalloproteinase inhibitor 1	CLGI,TIMP
USP26		Ubiquitin carboxyl-terminal hydrolase 26	
FSHB		Follitropin subunit beta	
NOS3		Nitric oxide synthase 3	
ROR2		Tyrosine-protein kinase transmembrane receptor ROR2	NTRKR2
MID2		E3 ubiquitin-protein ligase MID2	FXY2,RNF60,TRIM1
IL2RG		Cytokine receptor common subunit gamma	
PNN		Pinin	DRS,MEMA
MBD1		Methyl-CpG-binding domain protein 1	CXXC3,PCM1
KLHL17		Kelch-like protein 17	AF
BORCS8		BLOC-1-related complex subunit 8	MEF2BNB
LRRC32		Transforming growth factor beta activator LRRC32	D11S833E
ANTXRL		Anthrax toxin receptor-like	
COA5		Cytochrome c oxidase assembly factor 5	C2orf64,PET191
GRM8		Metabotropic glutamate receptor 8	GPRC1H,MGLUR8
HEPH		Hephaestin	
CASKIN2		Caskin-2	
GLE1		mRNA export factor GLE1	GLE1L
TRHR		Thyrotropin-releasing hormone receptor	
IGFL3		Insulin growth factor-like family member 3	
ABCC8		ATP-binding cassette sub-family C member 8	HRINS,SUR,SUR1
ADAM12		Disintegrin and metalloproteinase domain-containing protein 12	MLTN
C1orf105		Uncharacterized protein C1orf105	
PLPBP		Pyridoxal phosphate homeostasis protein	PROSC
SIX2		Homeobox protein SIX2	
FNDC5		Fibronectin type III domain-containing protein 5	FRCP2
ITPRID1		Protein ITPRID1	CCDC129
TMEM170A		Transmembrane protein 170A	TMEM170
DENND1B		DENN domain-containing protein 1B	C1orf218,FAM31B
FGFR4		Fibroblast growth factor receptor 4	JTK2,TKF
DAW1		Dynein assembly factor with WD repeat domains 1	ODA16,WDR69
EFNA3		Ephrin-A3	EFL2,EPLG3,LERK3
SNRNP200		U5 small nuclear ribonucleoprotein 200 kDa helicase	ASCC3L1,BRR2,HELIC2
